"penn_treebank_pos_locator","penn_treebank_tag","tag_description","example_text"
"1","CC","conjunction, coordinating","and, or, but"
"2","CD","cardinal number","five, three, 13%"
"3","DT","determiner","the, a, these "
"4","EX","existential there","there were six boys "
"5","FW","foreign word","mais "
"6","IN","conjunction, subordinating or preposition","of, on, before, unless "
"7","JJ","adjective","nice, easy"
"8","JJR","adjective, comparative","nicer, easier"
"9","JJS","adjective, superlative","nicest, easiest "
"10","LS","list item marker",""
"11","MD","verb, modal auxillary","may, should "
"12","NN","noun, singular or mass","tiger, chair, laughter "
"13","NNS","noun, plural","tigers, chairs, insects "
"14","NNP","noun, proper singular","Germany, God, Alice "
"15","NNPS","noun, proper plural","we met two Christmases ago "
"16","PDT","predeterminer","both his children "
"17","POS","possessive ending","'s"
"18","PRP","pronoun, personal","me, you, it "
"19","PRP$","pronoun, possessive","my, your, our "
"20","RB","adverb","extremely, loudly, hard  "
"21","RBR","adverb, comparative","better "
"22","RBS","adverb, superlative","best "
"23","RP","adverb, particle","about, off, up "
"24","SYM","symbol","% "
"25","TO","infinitival to","what to do? "
"26","UH","interjection","oh, oops, gosh "
"27","VB","verb, base form","think "
"28","VBZ","verb, 3rd person singular present","she thinks "
"29","VBP","verb, non-3rd person singular present","I think "
"30","VBD","verb, past tense","they thought "
"31","VBN","verb, past participle","a sunken ship "
"32","VBG","verb, gerund or present participle","thinking is fun "
"33","WDT","wh-determiner","which, whatever, whichever "
"34","WP","wh-pronoun, personal","what, who, whom "
"35","WP$","wh-pronoun, possessive","whose, whosever "
"36","WRB","wh-adverb","where, when "
"37",".","punctuation mark, sentence closer",".;?* "
"38",",","punctuation mark, comma",", "
"39",":","punctuation mark, colon",": "
"40","(","contextual separator, left paren","( "
"41",")","contextual separator, right paren",") "
"42","$","dollar","$ -$ --$ A$ C$ HK$ M$ NZ$ S$ U.S.$ US$"
"43","``","opening quotation mark","` ``"
"44","''","closing quotation mark","' ''"
